City,Year,Unemployment_Rate_%,MSME_Registered_Units,Average_AQI,Road_Density_km_per_1000sqkm,Internet_Penetration_%,Electricity_Access_%,Hospitals_per_100k,Beds_per_1000,Literacy_Rate_%,Student_Teacher_Ratio,Higher_Education_Institutions,Toilet_Access_%,PMAY_Average_Housing_Cost_Lakhs,Crime_Rate_per_100k,IPC_Crime_Cases,Population_Density_per_sqkm,Population_Growth_%,Net_Migration_Rate_%,Livability_Score_0_100,Infrastructure_Index,Healthcare_Index,Education_Index,Economic_Index,Safety_Index,Environmental_Index,Affordability_Index,Population_Pressure,Urbanization_Score,Development_Years,City_Encoded,Education_Economic_Interaction,Health_Safety_Interaction,Environment_Infrastructure_Interaction,Year_Normalized,Is_Recent
Mumbai,2015,3.29,269678,275,4092.1,59.7,83.7,6.22,3.67,94.0,39.1,131,63.4,8.23,734.1,121679,1266,0.91,4.48,45.24,70.21200610641174,84.84743107769424,72.14934807668632,77.99463270181714,8.180112570356467,8.026755852842804,67.06682673069227,10.651713102944809,80.62,10,16,56.27261902916706,6.9406153752110065,5.635746309544751,0.5263157894736842,0
Mumbai,2016,3.87,166876,222,4190.2,53.0,92.8,3.04,1.84,90.2,35.5,171,86.3,16.37,210.9,74175,8690,1.48,6.34,63.48,76.67302167275639,42.047619047619044,75.49301205358641,61.11231248574172,73.62101313320825,25.75250836120402,34.49379751900759,30.652777107282603,79.82,11,16,46.13552543108639,30.955883141248993,19.74522631706436,0.5789473684210527,0
Mumbai,2017,10.08,191185,248,3413.7,73.5,87.3,2.77,3.11,77.6,18.7,132,67.1,23.81,770.1,183058,11734,0.56,6.07,65.12,71.39644076280094,56.23088972431077,71.49671027744513,30.420502198528332,3.6772983114446545,17.05685618729097,4.721888755502201,28.575583965648626,79.28,12,16,21.749658321825628,2.0677775583423856,12.177988223755342,0.631578947368421,0
Mumbai,2018,10.72,289267,263,2331.1,62.3,96.3,3.56,1.34,85.0,43.3,142,82.8,6.94,549.8,198020,5062,2.57,5.76,79.82,69.57775113869563,39.055764411027575,65.98405166142517,40.006547485662544,31.23202001250782,12.040133779264217,72.22889155662264,33.0705381899585,81.58,13,16,26.397940960892164,12.19790415689004,8.377254317702487,0.6842105263157895,0
Mumbai,2019,8.42,212232,139,2326.7,86.9,95.3,7.14,3.72,83.8,31.5,161,86.0,19.04,667.3,178111,10801,2.0,1.06,72.18,74.81572801441514,91.23684210526315,72.42972412172219,42.29903305499868,16.53533458411508,53.51170568561873,23.809523809523803,39.528652047525625,88.18,14,16,30.63707294789162,15.086317106086046,40.035172181626834,0.7368421052631579,0
Mumbai,2020,2.81,142351,185,2290.0,74.3,75.8,1.74,3.43,79.7,21.4,109,90.8,9.32,554.9,17984,2498,2.63,3.74,74.96,67.22203513689374,53.777255639097746,69.24247988270976,63.633233688728964,30.59412132582865,38.12709030100334,62.70508203281312,28.4511178425096,76.91,15,16,44.06122903563584,16.45267883592659,25.629806038815673,0.7894736842105263,1
Mumbai,2021,8.67,292876,179,2479.4,86.1,81.8,4.35,1.05,70.7,44.0,168,87.8,13.18,262.6,32130,8257,2.7,4.79,76.03,71.73003053205866,40.38063909774435,59.70531297914965,51.69014349380651,67.15447154471545,40.13377926421404,47.25890356142457,40.65099307195885,78.65,16,16,30.86176195234874,27.11740479246897,28.78797211988976,0.8421052631578947,1
Mumbai,2022,4.88,286685,234,3682.6,75.5,85.5,3.11,1.94,90.5,18.4,32,61.8,5.81,706.0,141027,14751,0.89,3.45,67.25,71.54235397167025,43.73621553884711,69.32008931069602,71.57469872955635,11.694809255784866,21.739130434782606,76.75070028011204,37.57997511005841,84.5,17,16,49.61564508319007,5.114866982967111,15.55268564601527,0.8947368421052632,1
Mumbai,2023,3.97,132986,149,4002.4,76.8,76.1,3.93,2.8,83.6,41.1,135,66.5,6.41,567.6,6275,17987,4.26,3.95,63.24,71.52303468642074,59.62406015037593,65.42048953005562,56.04522371854653,29.005628517823634,50.16722408026756,74.3497398959584,74.10698735230132,79.31,18,16,36.66505971488798,17.29433339446176,35.88112108014418,0.9473684210526315,1
Mumbai,2024,7.97,140184,186,5695.6,62.4,99.0,7.38,1.43,71.9,20.7,13,63.8,18.66,196.3,64476,25501,0.59,5.39,58.25,83.4479333299965,64.1156015037594,55.226042685588304,35.14745282124743,75.4471544715447,37.792642140468224,25.33013205282112,56.51613343211312,77.18,19,16,19.410547297959116,48.37339690690139,31.537178817022085,1.0,1
Delhi,2005,3.5,210537,207,5362.9,82.6,95.1,3.33,1.37,90.3,39.8,198,76.5,12.44,654.7,68819,27991,3.93,3.07,80.29,87.19268481906002,37.98966165413534,76.35121240948618,68.95818022685935,18.111319574734207,30.76923076923077,50.22008803521408,91.27633737174962,89.42999999999999,0,7,52.650406658725686,6.880429027540709,26.82851840586462,0.0,0
Delhi,2006,8.91,35421,275,3427.3,87.9,83.0,7.32,2.05,70.3,42.4,27,72.8,24.0,767.9,115114,19323,2.29,2.26,60.45,74.19451223784974,71.48966165413533,46.007153585298425,16.03633860009581,3.9524702939337075,8.026755852842804,3.961584633853532,59.24239309647721,79.39,1,7,7.377862929204575,2.825607640113416,5.955412353539774,0.05263157894736842,0
Delhi,2007,8.22,226950,247,4906.0,45.3,87.4,1.87,2.56,81.9,42.0,76,64.7,7.86,645.0,124025,3932,0.84,4.71,48.42,72.77578357275138,43.716791979949875,58.06995042025272,45.35518651887827,19.324577861163228,17.391304347826086,68.54741896758702,15.387078585077182,72.57000000000001,2,7,26.337734324525755,8.448085504568175,12.656658012652413,0.10526315789473684,0
Delhi,2008,9.49,213341,70,1241.2,97.2,84.4,3.91,3.4,95.6,44.6,153,75.1,6.67,655.1,112122,13302,4.13,1.17,68.15,65.99252314930678,66.99874686716791,72.87051471164285,36.599969782797864,18.061288305190736,76.5886287625418,73.3093237294918,63.53145725840106,92.72,3,7,26.67058636503056,12.100836832544141,50.54276856585703,0.15789473684210525,0
Delhi,2009,2.6,143254,64,1417.9,46.8,91.2,6.35,2.67,96.0,28.1,64,94.7,9.47,776.1,3418,29126,0.67,5.85,69.8,62.75695179938936,73.16196741854635,71.51545701782857,64.90122726996982,2.9268292682926855,78.59531772575251,62.104841936774704,64.51550458018052,79.80000000000001,4,7,46.41440929229851,2.1413258756647733,49.324025661727426,0.21052631578947367,0
Delhi,2010,10.94,26769,188,5840.4,70.3,90.7,6.02,2.25,86.9,33.8,181,61.8,10.62,767.8,178162,14214,2.98,2.16,53.84,82.86269432904551,65.84429824561403,75.27527548656424,3.789338466503785,3.9649781113195837,37.12374581939799,57.5030012004802,55.11969563805228,83.06,5,7,2.8524349697790727,2.610712012990581,30.761736021819566,0.2631578947368421,0
Delhi,2011,6.44,109238,195,1204.2,96.5,99.7,6.04,2.52,78.4,40.0,140,66.5,23.22,684.6,190010,22045,2.95,3.01,88.84,68.53732869512989,69.34461152882206,63.29297982115477,39.38017269362448,14.371482176360217,34.78260869565217,7.082833133253297,70.59366592099312,90.22,6,7,24.924884756511645,9.965848486130895,23.83907085047996,0.3157894736842105,0
Delhi,2012,9.86,18339,56,2757.6,87.0,99.7,2.48,2.7,80.3,44.2,170,93.5,14.37,419.6,55408,2634,3.96,5.38,91.99,79.81249261724813,49.28884711779449,65.57723114458707,8.566486783017295,47.517198248905565,81.27090301003345,42.4969987995198,40.57304617353523,88.13,7,7,5.617664838669753,23.420679199562382,64.86433346485383,0.3684210526315789,0
Delhi,2013,10.97,168852,242,5712.8,89.3,81.2,4.43,1.21,95.8,34.4,53,86.9,17.36,382.8,23597,20475,2.58,5.13,69.45,88.19402372491116,42.88189223057643,67.48369329945942,22.578080042128413,52.12007504690431,19.06354515050167,30.532212885154063,64.14156749327965,89.47,8,7,15.236522288536396,22.350074412109066,16.812907532842598,0.42105263157894735,0
Delhi,2014,9.74,167812,190,5358.6,63.4,78.4,1.69,3.22,86.7,37.0,50,65.5,5.29,377.9,118393,12375,2.25,5.92,61.37,76.12116222033136,50.8389724310777,60.564056585824446,29.160664273308267,52.73295809881176,36.45484949832776,78.83153261304521,44.91974862934826,77.22,9,7,17.66088121128871,26.808894029946664,27.749855123799726,0.47368421052631576,0
Delhi,2015,6.87,236177,149,4034.9,90.0,98.7,2.46,3.77,83.3,25.0,97,99.2,14.85,363.7,127046,7964,0.8,1.27,51.02,87.64570549076531,62.53853383458646,68.59288625756847,53.963039817004244,54.509068167604745,50.16722408026756,40.57623049219687,23.135525276781028,89.93,10,7,37.0148065228041,34.08917203891529,43.969417470283595,0.5263157894736842,0
Delhi,2016,3.79,45954,210,1745.8,60.0,97.4,4.58,2.94,74.7,23.2,17,66.8,10.57,265.1,18651,4498,2.34,1.74,62.12,63.318175083838035,65.4467418546366,56.1944669897371,45.41949419917006,66.84177611006878,29.76588628762542,57.70308123249299,29.88783409531016,77.1,11,7,25.523242674658178,43.745764661810874,18.8472159948548,0.5789473684210527,0
Delhi,2017,6.78,208666,59,4956.9,76.4,77.0,7.18,3.75,71.6,25.5,163,89.9,8.69,286.1,74723,15051,2.97,2.71,66.74,81.17055107863256,91.8624686716792,67.9833349374937,50.78510731106681,64.21513445903689,80.2675585284281,65.22609043617447,56.713077202766925,74.66,12,7,34.52540960164815,58.98960777490944,65.15361959488901,0.631578947368421,0
Delhi,2018,8.85,15821,113,4509.4,91.9,87.8,4.96,1.14,82.1,32.4,56,70.8,12.55,163.0,65093,7131,1.81,1.22,86.85,81.4506992341959,45.327694235588964,60.456069434029835,13.749732465143666,79.61225766103814,62.207357859531776,49.7799119647859,30.458870151253514,86.75,13,7,8.312547806120596,36.08640072664462,50.66832795170715,0.6842105263157895,0
Delhi,2019,7.55,205335,247,3391.9,45.0,88.4,5.31,3.19,81.7,21.4,63,74.5,17.92,521.0,71863,29608,2.92,1.92,49.78,67.39732619250212,73.1456766917293,65.81936430482031,46.133129681563865,34.834271419637275,17.391304347826086,28.291316526610633,85.52892468931036,72.69999999999999,14,7,30.364532690323713,25.479763550527345,11.721274120435151,0.7368421052631579,0
Delhi,2020,3.8,77557,90,1770.1,56.5,79.3,7.33,1.06,84.2,29.1,196,64.5,12.96,780.2,173235,24695,1.53,1.53,76.43,56.84980279293257,59.17731829573935,77.25635437767903,49.58042352446543,2.4140087554721634,69.89966555183946,48.139255702280906,63.27014346374897,74.41999999999999,15,7,38.304027700015155,1.4285456449127785,39.73782201914016,0.7894736842105263,1
Delhi,2021,10.4,169245,192,2255.9,84.6,79.7,3.6,2.16,83.7,24.5,31,84.4,10.77,527.8,31718,14953,2.63,0.81,60.82,69.00135592371993,49.55639097744361,62.42243757764323,25.745257031818287,33.983739837398375,35.785953177257525,56.902761104441765,53.4871324493641,82.77000000000001,16,7,16.070816999890575,16.8411149825784,24.692792922535222,0.8421052631578947,1
Delhi,2022,3.64,23695,297,2476.2,87.0,81.4,5.93,3.23,86.1,30.7,88,74.0,23.59,689.9,193040,4604,3.42,6.13,53.52,69.01401371440012,77.53038847117794,66.82938814338955,43.27000312905305,13.708567854909326,0.6688963210702337,5.602240896358534,39.72228740637452,84.96,17,7,28.917078340771667,10.628305911746224,0.46163219875852896,0.8947368421052632,1
Delhi,2023,3.07,223630,193,5177.5,48.1,94.9,2.81,1.32,74.4,40.0,136,80.9,12.18,720.2,79096,24681,2.26,2.76,66.75,80.18471044596828,34.106516290726816,60.490969770903526,73.0544029727225,9.918699186991864,35.45150501672241,51.26050420168067,69.74534257470097,72.66000000000001,18,7,44.19131681854361,3.382922754039568,28.426686646396778,0.9473684210526315,1
Delhi,2024,5.06,225544,175,2007.5,92.2,84.6,5.03,3.7,86.9,21.2,188,85.1,11.7,240.5,159011,18982,2.63,5.86,82.06,70.88805045297562,77.76629072681705,81.59126523486027,62.435397518847346,69.91869918699187,41.47157190635451,53.1812725090036,61.58589622704509,87.80000000000001,19,7,50.941830790042104,54.373178882164765,29.39838881661865,1.0,1
Bengaluru,2005,3.79,96958,112,4668.5,41.9,89.2,6.46,3.61,79.2,40.2,31,93.9,7.55,408.2,159661,5347,1.42,4.83,78.84,77.28703538715651,85.60119047619047,52.729119092119845,52.22299839600269,48.94308943089432,62.54180602006689,69.78791516606643,23.398432839501517,71.01,0,1,27.53672701770409,41.89586720867209,48.33670775049588,0.0,0
Bengaluru,2006,7.95,209714,185,2109.4,60.1,79.5,7.4,2.67,80.8,30.5,189,66.1,16.72,478.8,122679,1525,3.99,6.09,71.56,59.6480859902898,79.74091478696741,73.88922877192196,44.531459064993896,40.1125703564728,38.12709030100334,33.09323729491796,38.61108634320587,74.19999999999999,1,1,32.903951664008126,31.986130546817325,22.742079608337917,0.05263157894736842,0
Bengaluru,2007,8.42,277137,226,1593.2,73.4,90.2,4.26,3.16,95.2,43.0,95,64.5,24.7,695.3,25807,27704,3.98,3.61,72.79,62.61437309174633,66.19172932330827,67.5140638605052,50.95681361917838,13.033145716072546,24.41471571906354,1.1604641856742703,91.14486792132126,87.16,2,1,34.4030156881307,8.626864534695088,15.287121189623683,0.10526315789473684,0
Bengaluru,2008,5.89,21154,133,4974.8,40.3,83.3,4.09,2.52,94.8,27.4,75,89.5,14.04,296.0,91035,5084,1.21,3.49,64.69,75.85014515241004,57.126566416040106,72.2127886649282,30.635973154543418,62.97686053783615,55.51839464882944,43.817527010804326,20.998947859385186,75.0,3,1,22.123090549534577,35.97651806188392,42.11078292742498,0.15789473684210525,0
Bengaluru,2009,10.28,111906,195,4087.8,40.8,91.6,2.66,3.88,74.0,29.2,26,99.9,15.04,537.0,14348,22748,1.34,5.89,54.64,76.08048350768306,65.16666666666666,54.00638381215656,18.75245487432974,32.83302063789869,34.78260869565217,39.81592637054822,57.6637941782846,69.32,4,1,10.12752275363198,21.396185115697314,26.462776872237583,0.21052631578947367,0
Bengaluru,2010,4.12,15782,168,3737.2,43.8,94.4,4.45,2.48,81.9,28.8,116,66.2,8.64,710.2,189276,11825,1.58,4.36,64.21,69.02564092296912,58.882205513784456,67.9697836621862,39.591524729004156,11.16948092557848,43.812709030100336,65.42617046818727,37.84536435470562,74.22,5,1,26.910273706865077,6.576836713422075,30.242003213742322,0.2631578947368421,0
Bengaluru,2011,2.72,51065,228,4226.4,41.6,80.5,3.0,2.95,70.5,20.8,161,67.1,18.05,304.8,20788,8051,3.39,5.63,84.02,67.04421192251864,55.671992481203006,69.21587111504068,51.94825310513096,61.87617260787992,23.745819397993305,27.771108443377347,46.383902166517274,64.83,6,1,35.95643591576256,34.447698161915106,15.920197479929172,0.3157894736842105,0
Bengaluru,2012,5.88,202085,101,2324.4,92.0,75.3,2.06,1.47,70.7,22.9,120,76.9,22.85,681.3,69021,8523,2.02,4.04,57.6,68.00421592672306,31.282268170426065,64.27985607323924,54.82529010345447,14.784240150093819,66.22073578595318,8.563425370148048,35.12777789260137,78.47,7,1,35.241617570236414,4.62484565071215,45.03289215214437,0.3684210526315789,0
Bengaluru,2013,7.81,125776,188,3067.9,57.1,98.7,6.46,1.25,93.4,31.2,179,92.0,13.5,164.6,54466,16707,3.03,2.05,51.55,74.7856234045748,56.10119047619047,80.13239963738515,34.09986386222895,79.41213258286429,37.12374581939799,45.978391356542616,60.57635309304792,84.1,8,1,27.32503918588558,44.5511517615176,27.763224742166564,0.42105263157894735,0
Bengaluru,2014,9.6,295398,181,1692.7,55.8,75.5,7.44,1.18,85.6,25.4,115,86.1,21.59,284.2,3188,4969,4.1,5.74,73.08,59.50239601581661,61.366541353383454,71.60375776432272,46.94458984794945,64.45278298936836,39.464882943143806,13.605442176870742,46.51388678620773,73.63,9,1,33.61409039818056,39.55244372657723,23.482550936007886,0.47368421052631576,0
Bengaluru,2015,7.6,201185,93,5554.9,64.3,84.6,4.87,0.95,74.5,37.9,25,84.1,9.91,403.0,58450,11314,3.38,2.28,71.62,82.86369387857249,42.38878446115288,50.33060290315721,45.306330576738,49.59349593495935,68.89632107023411,60.34413765506201,52.85382900913067,74.47,10,1,22.802949332569696,21.022080098620535,57.09003658523723,0.5263157894736842,0
Bengaluru,2016,6.55,200782,284,4609.4,52.5,75.8,3.2,2.7,71.4,31.4,123,73.4,20.42,219.3,15952,22117,2.48,4.63,65.44,70.99122478602533,53.80012531328321,61.21517207417937,50.99027868763167,72.5703564727955,5.0167224080267525,18.287314925970378,66.5513119822632,67.05,11,1,31.21378683973734,39.04294272266031,3.5614326815731743,0.5789473684210527,0
Bengaluru,2017,4.59,246635,249,4412.4,55.8,89.8,3.85,1.09,94.8,21.7,190,77.8,8.7,502.2,174716,22234,3.73,4.45,77.54,75.74518944892137,37.74780701754386,86.3095531107654,67.81706536444412,37.185741088180116,16.722408026755854,65.1860744297719,77.92235320153758,81.6,12,1,58.532606048887395,14.036801784009745,12.666419640287854,0.631578947368421,0
Bengaluru,2018,9.72,78652,172,1950.3,97.3,98.6,1.76,3.06,95.0,22.9,117,96.6,5.68,603.3,60172,27807,4.38,6.17,67.29,78.1217498373292,49.27756892230576,78.5583485355508,17.3767605296936,24.540337711069427,42.47491638795987,77.27090836334534,94.91538442081267,96.77,13,1,13.650896101104722,12.092881829338829,33.18214792421676,0.6842105263157895,0
Bengaluru,2019,9.83,254142,129,5110.4,42.1,89.9,3.0,1.19,72.1,36.8,74,89.0,6.31,354.9,108358,23930,1.78,4.26,86.64,78.76885780069072,33.671992481203006,54.30520374702018,40.184556181518026,55.60975609756098,56.856187290969906,74.749899959984,63.959574998166346,68.44,14,1,21.822305109209154,18.724912891986065,44.78496931811847,0.7368421052631579,0
Bengaluru,2020,7.73,73723,56,5324.5,41.2,96.9,4.94,3.81,91.6,44.9,76,90.7,13.04,461.9,125873,26336,4.44,5.11,64.64,82.10048300715752,78.57738095238096,62.59819095477387,27.593590366882793,42.22639149468418,81.27090301003345,47.81912765106042,92.49302260128766,78.07,15,1,17.273088389139378,33.18039250722178,66.72380391551599,0.7894736842105263,1
Bengaluru,2021,6.08,222586,109,1374.5,60.6,82.2,3.43,1.55,71.1,18.5,197,77.1,12.69,591.8,44432,28548,3.65,1.04,64.63,59.07972370989539,40.86622807017544,74.21846045371623,56.46705473047457,25.97873671044403,63.54515050167224,49.219687875150065,89.9015407991568,71.28,16,1,41.90897868451557,10.616529793840447,37.542299347425164,0.8421052631578947,1
Bengaluru,2022,9.97,283695,166,3989.7,49.7,99.8,3.01,3.82,87.5,34.4,107,69.2,8.53,293.3,38101,23607,1.9,0.85,90.55,73.68946794133842,66.60964912280701,67.93082897785139,43.36165025212193,63.314571607254535,44.48160535117057,65.86634653861545,64.37934933224774,79.85,17,1,29.45592847474302,42.17361399120064,32.778258315043516,0.8947368421052632,1
Bengaluru,2023,10.01,278686,298,1704.3,63.0,94.0,6.02,1.29,92.0,24.1,52,81.5,16.86,527.1,19205,26446,1.56,1.28,86.77,65.63045697982882,53.84429824561403,69.69116406083873,42.47491258796852,34.07129455909943,0.33444816053511683,32.53301320528211,67.05711994619392,83.9,18,1,29.60126101637898,18.34544945854316,0.21949985611982867,0.9473684210526315,1
Bengaluru,2024,10.62,259327,252,4207.3,71.9,77.2,4.15,1.99,77.0,37.5,104,63.2,9.4,594.1,16150,25685,2.48,3.38,72.84,71.23861154211923,50.87750626566417,59.948475114995915,36.5592516382427,25.6910569105691,15.719063545150503,62.38495398159263,73.72341155008793,75.53,19,1,21.91671387058066,13.07096908939014,11.19804261698864,1.0,1
Hyderabad,2005,9.51,107603,219,3741.8,55.5,97.0,6.68,2.91,93.0,41.4,144,93.5,18.95,592.1,124103,22828,1.13,5.79,85.98,77.62866509835328,78.22963659147871,71.83138185358867,22.38612117455223,25.94121325828642,26.755852842809368,24.16966786714686,55.953779532182814,82.95,0,9,16.080260183099682,20.29371685937796,20.77021139755272,0.0,0
Hyderabad,2006,2.75,248615,82,2542.6,83.1,79.0,6.82,3.46,83.7,18.2,64,84.7,24.62,560.7,52700,19386,2.66,5.18,50.03,69.98636268081486,85.98182957393483,68.54525657239427,78.1358255035482,29.8686679174484,72.5752508361204,1.480592236894751,62.665244313228854,82.11,1,9,53.55840206636539,25.681627144785033,50.792778266678354,0.05263157894736842,0
Hyderabad,2007,8.97,164673,290,2577.7,76.7,98.3,2.17,3.8,88.6,19.8,67,88.3,6.35,528.4,69830,19006,0.68,5.73,90.75,75.39204714950698,61.09649122807017,71.07406923257713,32.94959837380355,33.90869293308319,3.0100334448160515,74.58983593437375,44.26220141005198,87.94,2,9,23.418620360053247,20.71702160341442,2.2693258339316467,0.10526315789473684,0
Hyderabad,2008,10.74,226147,82,4743.0,41.4,75.6,3.6,2.36,90.8,36.4,94,70.9,24.94,427.0,90826,5745,3.68,4.66,55.38,68.87992692326944,52.05639097744361,67.71342771765285,31.47758127606432,46.59161976235146,72.5752508361204,0.2000800320127949,44.3320899306017,71.41999999999999,3,9,21.31454924463324,24.25391574621356,49.98977974029923,0.15789473684210525,0
Hyderabad,2009,3.2,205747,213,2220.9,95.2,78.8,4.31,3.82,81.3,35.2,85,71.0,24.68,416.1,178925,7668,1.35,0.69,75.63,67.99617198057962,74.75501253132832,61.6434262627167,69.95857881621058,47.954971857410875,28.76254180602007,1.2404961984793905,27.44030775243559,84.72,4,9,43.12486494701531,35.84874522140247,19.55742739240752,0.21052631578947367,0
Hyderabad,2010,5.63,259985,168,5834.6,50.8,96.7,6.55,3.27,92.8,38.5,128,65.2,5.65,748.6,123713,24099,2.43,1.2,50.88,81.41366384703939,81.91510025062657,71.39510111806247,63.91478286137588,6.366479049405871,43.812709030100336,77.39095638255303,70.08993075092667,81.37,5,9,45.632023853269374,5.215107695755957,35.66953165204736,0.2631578947368421,0
Hyderabad,2011,8.33,131940,100,3356.3,43.7,89.5,3.25,3.35,78.4,30.3,12,62.9,12.85,462.0,120404,9458,3.28,5.66,81.65,64.96913909605087,62.238408521303256,54.749370907992066,32.080559512808755,42.21388367729831,66.5551839464883,48.57943177270908,48.23218216172105,71.32000000000001,6,9,17.563904517026796,26.273249375784676,43.2403300338265,0.3157894736842105,0
Hyderabad,2012,2.84,146749,76,2058.6,97.2,78.6,4.74,2.78,89.0,33.1,11,73.1,15.35,207.1,70774,1962,0.81,2.88,51.24,67.94381900996046,64.44924812030075,59.76165235979452,64.05595543569508,74.09631019387118,74.5819397993311,38.57543017206883,11.15988635001072,88.34,7,9,38.280897403225,47.754514804835736,50.6738181913752,0.3684210526315789,0
Hyderabad,2013,7.32,208392,250,1840.8,49.7,77.6,5.64,3.06,70.9,43.3,19,81.7,19.18,716.1,143103,24250,1.86,5.39,48.77,58.77367435807598,73.58834586466165,45.162242616199045,47.797738345744314,10.431519699812375,16.387959866220736,23.24929971988795,65.31550750507323,66.55,8,9,21.586530556761048,7.676382795638245,9.63180616570476,0.42105263157894735,0
Hyderabad,2014,10.11,166539,254,3152.1,77.3,88.2,6.26,1.06,71.6,24.7,40,94.9,9.38,784.3,68042,6281,3.66,4.45,68.42,76.67706591921517,52.47305764411028,55.977873331020355,26.968998867210274,1.9011882426516635,15.050167224080269,62.46498599439776,45.231339240472515,78.28999999999999,9,9,15.09667202453128,0.9976116024896545,11.540026643360143,0.47368421052631576,0
Hyderabad,2015,7.22,217164,107,5980.9,96.5,91.3,2.8,2.98,71.9,18.8,58,78.5,22.37,622.7,148798,13339,1.88,2.73,91.42,92.32593272936585,54.7938596491228,60.59498091795279,49.51429738162349,22.113821138211375,64.21404682274247,10.484193677470977,43.56128817945649,85.1,10,9,30.003179050053156,12.117016117529591,59.2862176723687,0.5263157894736842,0
